Date,Open,High,Low,Close,Volume
2021-01-01,101.08769589089316,104.15095940273841,100.06660805361142,102.10878372817491,8500960
2021-01-02,100.63074670383101,103.68016327061378,99.61427451490343,101.6472188927586,4040267
2021-01-03,103.37523077340472,106.50781352411397,102.33103652316831,104.41942502364114,2180887
2021-01-04,109.97868562685184,113.31137307008977,108.8677898124392,111.08958144126449,5439850
2021-01-05,109.0624272120238,112.36734924875181,107.96078653311447,110.16406789093314,8536765
2021-01-06,108.15387338834717,111.43126349102435,107.0614100207881,109.24633675590623,2896220
2021-01-07,115.32145379901607,118.81604330807717,114.15659062932905,116.48631696870311,4138744
2021-01-08,119.03539293441932,122.64252605364415,117.83301522801104,120.23777064082759,9535078
2021-01-09,116.93776767449401,120.48133639190291,115.75657810202438,118.11895724696365,7935774
2021-01-10,119.62290000645922,123.24783637029132,118.41458788518186,120.83121212773659,2367223
2021-01-11,117.54339529973265,121.10531636942152,116.35608827650303,118.73070232296227,3428081
2021-01-12,115.48935912834129,118.98903667768496,114.32279994522673,116.65591831145585,5273445
2021-01-13,116.72921933067997,120.26646840130664,115.55013630713773,117.90830235422219,4184790
2021-01-14,108.23726093189745,111.51717792983374,107.14395526591869,109.33056659787621,7681935
2021-01-15,101.12212701443092,104.1864338936561,100.10069138802251,102.1435626408393,7689142
2021-01-16,98.97204767647206,101.97120063636515,97.97233002317435,99.97176532976975,5990961
2021-01-17,95.13759562827356,98.02055307155457,94.17660981384655,96.09858144270056,4646804
2021-01-18,96.43740182011793,99.35974732981848,95.46328665021775,97.41151699001811,1647296
2021-01-19,93.09059409353829,95.91152118728188,92.15028506229042,94.03090312478615,2549302
2021-01-20,88.06551278609909,90.73416468870815,87.17596215189607,88.95506342030211,4122951
2021-01-21,93.4762087213379,96.308821106833,92.53200459283954,94.42041284983627,1800101
2021-01-22,92.72850287755543,95.53845751020863,91.7918513333377,93.66515442177317,5100612
2021-01-23,93.07233885135034,95.89271275593671,92.13221421648822,94.01246348621247,6877845
2021-01-24,88.00442527744215,90.67122604342525,87.11549168878112,88.89335886610318,7014126
2021-01-25,86.19496725707339,88.80693596183319,85.32431102215345,87.06562349199332,6238561
2021-01-26,86.66487725398787,89.29108565562386,85.78947445344254,87.5402800545332,7339776
2021-01-27,82.84811171222526,85.35866055198966,82.01126209897046,83.68496132548006,9885366
2021-01-28,84.18669336396361,86.73780528408373,83.33632272392357,85.03706400400365,9121757
2021-01-29,82.2703952197963,84.76343749918406,81.43938112666704,83.10140931292555,5642929
