Date,Open,High,Low,Close,Volume
2021-01-01,9942.930563012977,10092.823988586037,9892.966087821957,9992.895038203997,236487526
2021-01-02,9950.040796790363,10100.041411817354,9900.040591781366,10000.04100179936,237657017
2021-01-03,9978.367189645662,10128.794835720722,9928.224640953975,10028.509738337349,341522644
2021-01-04,10013.637982146447,10164.59734871147,9963.31819329144,10063.957771001455,182932385
2021-01-05,9902.42008097454,10051.702795763102,9852.65917604502,9952.18098590406,316249590
2021-01-06,9904.652810871632,10053.969184904874,9854.880686193885,9954.42493554938,326625075
2021-01-07,9968.830715139697,10119.11459526743,9918.73608843045,10018.92534184894,217037912
2021-01-08,9785.901853365172,9933.428011958616,9736.726467167357,9835.077239562987,387811147
2021-01-09,9808.92513858643,9956.798381881703,9759.634057488007,9858.216219684855,201303168
2021-01-10,9910.947138783362,10060.358402182106,9861.143384317113,9960.75089324961,456177334
2021-01-11,9843.175140274876,9991.564715253895,9793.711948615204,9892.63833193455,419703424
2021-01-12,10006.269542873146,10157.117827439073,9955.98678135117,10056.552304395122,112275520
2021-01-13,9941.325239452792,10091.19446416816,9891.368831214337,9991.281647691249,155341816
2021-01-14,9818.804983402415,9966.82716908185,9769.464254842604,9868.145711962226,433425854
2021-01-15,9906.112992003535,10055.45137881766,9856.333529732161,9955.89245427491,373858025
2021-01-16,10218.00588715443,10372.046176910526,10166.659123902396,10269.352650406461,197682857
2021-01-17,10236.213249315717,10390.528021918466,10184.774991781467,10287.651506849967,415904404
2021-01-18,10339.333084564527,10495.202427547913,10287.376636903398,10391.289532225655,403637712
2021-01-19,10265.868041213327,10420.629870980363,10214.280764624316,10317.45531780234,428306709
2021-01-20,10081.482918922164,10233.46507347878,10030.822200736624,10132.143637107702,189696866
2021-01-21,10111.71195447275,10264.149823133144,10060.899331585953,10162.524577359549,288675279
2021-01-22,10166.117235353264,10319.375284127434,10115.031219095208,10217.203251611321,243039165
2021-01-23,10116.74209547435,10269.255795406125,10065.90419549709,10167.579995451608,339292078
2021-01-24,10218.068068114666,10372.109295272174,10166.720992395498,10269.415143833836,322418704
2021-01-25,10123.367164947134,10275.980740298095,10072.49597316348,10174.238356730788,435778320
2021-01-26,9992.302417622059,10142.940142510834,9942.089842659134,10042.514992584984,346147061
2021-01-27,10157.6252774639,10310.755306772402,10106.581934361066,10208.668620566734,461032281
2021-01-28,10326.412121343703,10482.086675936824,10274.520603145995,10378.30363954141,233297804
2021-01-29,10233.736372743662,10388.013805498593,10182.310561825352,10285.162183661972,463733648
2021-01-30,10506.273001247175,10664.659026391604,10453.477659532364,10559.068342961984,463315365
2021-01-31,10466.355840904347,10624.140099812454,10413.76108793498,10518.950593873717,493818960
2021-02-01,10484.915970317692,10642.980030171728,10432.227950366347,10537.603990269037,262746796
2021-02-02,10476.847912229607,10634.79034306724,10424.20043528373,10529.495389175485,490449925
2021-02-03,10564.763495738942,10724.031287131991,10511.674231941259,10617.852759536625,382128546
2021-02-04,10613.168990098255,10773.166512562048,10559.836482610322,10666.501497586185,347701005
2021-02-05,10659.643975514702,10820.342125899346,10606.077925386488,10713.210025642917,125732334
2021-02-06,10503.112013980859,10661.450386050923,10450.332556624171,10555.891471337547,162701639
2021-02-07,10245.546883394585,10400.002364048774,10194.06172317652,10297.032043612648,350850748
2021-02-08,10427.802549102444,10585.0056026065,10375.401531267758,10480.203566937129,428446606
2021-02-09,10348.00628019157,10504.006374867824,10296.006248632819,10400.006311750321,416210997
2021-02-10,10345.569605418685,10501.532966304394,10293.581818456782,10397.557392380588,151039740
2021-02-11,10401.607424679762,10558.415576810612,10349.338040636145,10453.876808723378,141279258
2021-02-12,10664.233708848724,10825.001051193178,10610.644594733907,10717.822822963542,235315724
2021-02-13,10695.422724539405,10856.66025305005,10641.676881702522,10749.168567376286,461309936
2021-02-14,10637.58946011337,10797.955130366336,10584.134236695714,10691.044683531025,210627230
2021-02-15,10559.656380530796,10718.847180237291,10506.59278062863,10612.719980432961,328861172
